Film ,Major_Studio,Rotten_Tomatoes,Audience_Score,Genre,Domestic_Gross,Foreign_Gross,Worldwide_Gross,Budget,Profitability,Oscar,Release_time
Sucker Punch,Legendary Pictures,23,48,Action,36.39,53.4,89.79,82,109.5,0,2011
Super 8 ,Paramount,82,78,Horror,127,132.71,259.71,50,519.43,0,2011
Take Me Home Tonight,Relativity,28,46,Comedy,6.93,0,6.93,25,27.71,0,2011
Take Shelter,Independent,92,85,Drama,1.57,0,1.57,5,31.46,0,2011
The Adjustment Bureau,Independent,72,67,Thriller,62.5,65.37,127.87,50.2,254.72,0,2011
The Adventures of Tintin,Paramount,74,78,Adventure,77.24,296.4,373.64,130,287.42,0,2011
The Artist,Weinstein Company,97,91,Drama,40.45,65.29,105.74,16,660.88,1,2011
The Beaver,Summit Entertainment,62,57,Drama,0.97,5.4,6.37,21,30.33,0,2011
The Big Year,Independent,38,62,Comedy,7.17,0.24,7.41,41,18.07,0,2011
The Change Up,Relativity Media,24,53,Comedy,37.08,33.75,70.83,52,136.22,0,2011
The Company Men,Weinstein Company,66,55,Drama,4.4,0.4,4.8,15,32,0,2011
The Conspirator,Independent,56,65,Drama,11.54,2.67,14.21,25,56.84,0,2011
The Debt,Universal,76,70,Thriller,31.18,14.25,45.43,20,227.15,0,2011
The Descendants,20th Century Fox,89,88,Drama,81.45,86.2,167.65,20,838.25,0,2011
The Dilemma,Spyglass Entertainment,23,31,Comedy,48.5,21.2,69.7,70,99.57,0,2011
The Eagle,Universal,39,43,Action,19.49,7.63,27.12,25,108.48,0,2011
The Girl With The Dragon Tattoo,Sony,87,89,Thriller,102.06,127.13,229.19,90,254.66,0,2011
The Green Hornet,Columbia,44,47,Action,98.8,129,227.8,120,189.83,0,2011
The Hangover Part II,Legendary Pictures,35,58,Comedy,254.46,327,581.46,80,726.83,0,2011
The Help,DreamWorks Pictures,75,91,Drama,169.22,37.02,206.24,25,824.98,1,2011
The Ides of March,Columbia,85,76,Thriller,40.49,13.7,54.19,12.5,433.55,0,2011
The Iron Lady,Weinstein Company,53,54,Drama,27.94,53.47,81.41,13,626.23,0,2011
The Lincoln Lawyer,Lionsgate,84,82,Drama,58.01,17,75.01,40,187.52,0,2011
The Mechanic,Independent,53,52,Action,29.2,22,51.2,40,128,0,2011
The Muppets,Disney,97,87,Comedy,88.54,69.8,158.34,45,351.87,0,2011
The Rite,Warner Bros,20,43,Horror,33,63,96,37,259.46,0,2011
The Roommate,Independent,4,29,Horror,37.3,3.19,40.49,16,253.08,0,2011
The Rum Diary,Independent,50,48,Drama,13.07,8.48,21.55,45,47.89,0,2011
The Sitter,Fox,22,43,Comedy,30.44,4.14,34.58,25,138.32,0,2011
The Smurfs,Sony Pictures Animation,23,50,Animation,142.61,419.54,562.16,110,511.05,0,2011
The Son Of No One,Independent,18,61,Thriller,0.03,0,0.03,15,0.2,0,2011
The Thing,Universal,36,52,Horror,16.93,10.5,27.43,38,72.18,0,2011
The Three Musketeers,Independent,24,48,Action,20.25,111.9,132.15,75,176.2,0,2011
The Tree Of Life,Independent,84,61,Drama,13.3,41,54.3,32,169.7,0,2011
Thor,Disney,77,80,Action,181.03,267.48,448.51,150,299.01,0,2011
Tinker Tailor Soldier Spy,Focus,83,68,Thriller,23.91,53.84,77.75,21,370.24,0,2011
Tower Heist,Relativity,68,61,Comedy,78.04,86.5,164.54,75,219.39,0,2011
Transformers: Dark of the Moon,DreamWorks Pictures,35,67,Action,352.39,770.81,1123.2,195,576,0,2011
Trespass,Independent,11,24,Thriller,0.02,3.1,3.12,35,8.93,0,2011
Twilight: Breaking Dawn,Independent,26,68,Romance,281.17,421,702.17,110,638.34,0,2011
