sex,degree,uni_level,u_loan,guarantee,amount,income,period_m,repayment_m,repayment_T,count,c_borrowing,c_repayment,c_overdue,c_fre,c_over_fre,c_overrate,c_over_frerate,performance
male,bachelor,high,rent,Y,-0.353857771,0.105262688,0.505109906,-0.346845622,-0.326862834,-0.624375392,1.504388482,1.51962248,-0.37018922,2.015068171,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,shopping,N,0.109063206,0.015545665,0.505109906,-0.238009593,0.106394138,-0.05324653,0.143483935,0.176265929,-0.37018922,1.974878793,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,other,N,0.109063206,0.015545665,0.505109906,-0.238009593,0.106394138,-0.420400799,0.181548644,0.210694424,-0.37018922,0.528061172,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,shopping,Y,1.845016872,1.511054246,0.505109906,0.200081072,1.850366573,-0.787555067,3.197769632,3.033289961,-0.37018922,2.738476982,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,other,N,4.738272982,0.049948433,-2.037334879,4.241011623,4.499627607,0.640267089,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,other,Y,1.41410688,1.14038128,0.505109906,0.091344315,1.417502595,-0.787555067,-0.312232585,-0.243181005,-0.37018922,0.889765577,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,trading,N,0.746065618,-0.717368216,-0.766112487,0.263747998,0.662910643,-0.787555067,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,shopping,Y,-1.187115531,-1.606106401,-2.037334879,-0.075864094,-1.228640834,-0.338810961,1.145277211,1.110534832,-0.37018922,0.729008064,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,travel,N,-1.048239237,-1.413518354,-1.401723683,-0.252139415,-1.084374796,-0.583580474,0.412803743,0.402272629,-0.37018922,0.286924902,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,study,N,-1.048239237,-1.413518354,-1.401723683,-0.252139415,-1.084374796,-0.420400799,1.274581168,1.190983147,-0.37018922,1.171091226,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,travel,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,1.864114651,-0.018084969,-0.774509752,3.528792958,-0.677620179,3.07503335,2.801940914,2.875670651,0
male,college ,other,study,N,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.70596523,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,high,living,N,-1.048239237,-1.555514094,-2.037334879,0.025890479,-1.093617834,-0.70596523,-0.41285659,-0.350739252,-0.37018922,0.08597801,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,high,living,Y,-1.511160215,-1.648604276,-2.037334879,-0.309585579,-1.538776809,-0.665170311,0.49825472,0.495277577,-0.37018922,1.613174388,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,high,business,Y,0.109063206,-0.506566939,-1.401723683,0.329036379,0.072410056,-0.746760149,3.428297966,3.235885385,-0.37018922,5.270407818,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,Y,0.109063206,0.015545665,0.505109906,-0.238009593,0.106394138,-0.583580474,0.268930002,0.416996126,-0.37018922,0.286924902,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,other,Y,-0.185748018,0.292454222,0.505109906,-0.303728156,-0.155218962,-0.787555067,2.404023789,2.729227895,-0.37018922,1.130901847,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,trading,N,-1.587056109,-1.552478556,0.505109906,-0.667794437,-1.604509957,-0.787555067,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,N,0.109063206,-1.075224464,-1.401723683,0.310439283,0.035393995,1.823319732,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,living,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,0.109933145,-0.018084969,0.11896978,-0.37018922,0.045788632,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,shopping,N,-1.048239237,-1.242516358,-1.401723683,-0.24654705,-1.073243632,-0.542785555,2.210609336,2.070000831,-0.37018922,2.256204441,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,other,N,-1.837635234,-1.744054757,-1.401723683,-0.639137702,-1.854664545,-0.787555067,2.950407912,2.749016723,-0.37018922,2.698287603,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,travel,N,0.109063206,-0.561881194,-0.766112487,0.039887937,0.068809443,-0.501990636,-0.305344111,-0.230619291,-0.37018922,-0.356105152,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,study,N,-1.048239237,-1.18180559,0.505109906,-0.533346036,-1.069291739,-0.624375392,-0.276618197,-0.153973784,-0.37018922,0.286924902,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.624375392,-0.436670373,-0.361847922,-0.37018922,0.045788632,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,other,N,0.109063206,-1.075224464,-1.401723683,0.310439283,0.035393995,0.354702657,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,high,travel,Y,0.109063206,-0.506566939,-1.401723683,0.329036379,0.072410056,-0.583580474,0.818502702,0.920772932,-0.37018922,0.045788632,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,other,N,-1.048239237,-1.526845121,-1.401723683,-0.255845598,-1.091751663,1.089011195,-0.276618197,-0.052702744,-0.37018922,-0.15515826,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,Y,0.109063206,0.2459093,-0.13050129,-0.116665196,0.121391571,-0.624375392,3.716283873,2.829089076,2.138080993,2.376772577,2.69221126,0.763131971,0.147570921,0
male,bachelor,other,living,Y,-1.395429971,-1.066455131,0.505109906,-0.614187149,-1.391107533,0.27311282,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,travel,N,0.109063206,-1.528868813,-2.672946075,2.531071522,0.005864575,0.762651845,0.254811215,0.24228542,-0.37018922,-0.315915773,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,other,N,-1.163969482,-1.262078717,0.505109906,-0.562234408,-1.184291816,0.844241682,-0.185651844,-0.063016305,-0.37018922,-0.275726395,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,study,Y,-0.58531826,-1.466808917,-2.672946075,1.544432709,-0.648744493,-0.461195717,0.369714872,0.392482367,-0.37018922,1.010333712,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,living,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.461195717,-0.018084969,0.022484639,-0.37018922,-0.034590125,-0.370365459,-0.461184806,-0.42676589,1
male,college ,high,other,N,-1.742620704,-1.69514886,-0.766112487,-0.649726795,-1.761355967,-0.70596523,0.029792512,0.056791201,-0.37018922,0.246735524,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,study,N,-1.511160215,-1.84355296,-2.672946075,0.183833431,-1.551466556,-0.583580474,-0.707506909,-0.557373731,-0.37018922,-0.597241422,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,shopping,Y,-1.927789095,-1.867162703,-2.037334879,-0.618124969,-1.948192671,-0.70596523,0.464484535,0.470306567,-0.37018922,0.970144334,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,other,N,0.109063206,-1.075224464,-1.401723683,0.310439283,0.035393995,1.619345138,-0.535151424,-0.380313261,-0.37018922,-0.476673287,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,business,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,1.048216276,0.671336971,1.123797665,-0.37018922,0.528061172,-0.370365459,-0.461184806,-0.42676589,0
male,bachelor,other,business,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,0.109933145,0.556433314,0.702254995,-0.37018922,0.528061172,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,business,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.70596523,2.279988164,2.722442791,-0.37018922,1.974878793,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,living,N,-0.816778749,-0.476886119,0.505109906,-0.466667837,-0.803856281,-0.012451611,0.269174172,0.549144341,-0.37018922,0.56825055,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,study,N,2.423668094,1.204127586,0.505109906,0.332941108,2.379261544,-0.37960588,-0.879862394,-0.774509752,-0.37018922,-0.677620179,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,study,N,0.109063206,-1.41621661,-2.672946075,2.542123889,0.013197531,0.354702657,0.269174172,0.266253018,-0.37018922,-0.516862665,-0.370365459,-0.461184806,-0.42676589,1
male,college ,other,travel,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.257221124,1.502765468,1.524456644,-0.37018922,1.050523091,-0.370365459,-0.461184806,-0.42676589,1
female,college ,other,other,N,-1.441745214,-1.453992199,0.505109906,-0.631559881,-1.460265655,0.191522982,-0.112877613,0.000765194,-0.37018922,-0.195347638,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,travel,N,-0.353857771,-0.382447147,0.505109906,-0.354820533,-0.358609705,-0.70596523,0.87241837,0.842626116,-0.37018922,0.970144334,-0.370365459,-0.461184806,-0.42676589,1
female,bachelor,other,study,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,-0.583580474,2.394891821,2.271910379,-0.37018922,2.899234495,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,living,N,-1.742620704,-1.659396964,0.505109906,-0.706610117,-1.759028742,-0.70596523,-0.529406242,-0.455454919,-0.37018922,-0.235537017,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,study,N,-1.742620704,-1.866150857,-2.672946075,-0.149292841,-1.772487132,-0.624375392,0.283537129,0.296909189,-0.37018922,0.849576199,-0.370365459,-0.461184806,-0.42676589,1
male,bachelor,other,travel,Y,0.109063206,0.624677035,0.505109906,-0.228049226,0.14604699,0.191522982,0.026144321,0.179847732,0.569614233,0.126167389,0.395278721,1.38461836,0.123640211,0
male,college ,other,living,Y,-1.048239237,-0.77909083,0.505109906,-0.526760944,-1.043077737,-0.542785555,3.249286686,3.065361071,-0.37018922,3.100181387,-0.370365459,-0.461184806,-0.42676589,1
